CustomerID,LastTrans,FirstTrans,LastTransCost,SizeLastTrans,NoTrans,TimePeriod,TransPerUnitTime,NoOfTrans,CostPerUnitTime,CostPerTrans,TotalCost,SizePerUnitTime,SizePerTrans,Churn
MzEzMTQzNTE,35,35,13419,63,1,1,1.0,1,63.0,63.0,63,13419.0,13419.0,1
MzEzMTQzNjA,34,36,143062,1032,3,3,1.0,3,973.3333333333334,973.3333333333334,2920,137106.33333333334,137106.33333333334,1
MzEzMTQzODk,36,36,44813,60,1,1,1.0,1,60.0,60.0,60,44813.0,44813.0,1
MzEzMTQ1NDA,35,36,56015,203,2,2,1.0,2,265.5,265.5,531,46109.5,46109.5,1
MzEzMTQ4OTk,34,36,85385,400,3,3,1.0,3,1031.6666666666667,1031.6666666666667,3095,160691.66666666666,160691.66666666666,1
MzEzMTU4NTU,34,36,309047,1622,3,3,1.0,3,1542.0,1542.0,4626,299205.0,299205.0,1
MzEzMTU4NTc,34,36,62276,505,3,3,1.0,3,518.3333333333334,518.3333333333334,1555,64946.666666666664,64946.666666666664,1
MzEzMTYxMzc,34,36,25874,207,3,3,1.0,3,202.33333333333334,202.33333333333334,607,23782.666666666668,23782.666666666668,1
MzEzMTYxOTc,34,36,85907,701,3,3,1.0,3,567.3333333333334,567.3333333333334,1702,69767.0,69767.0,1
MzEzMTY0Mjc,35,36,4103,7,2,2,1.0,2,16.5,16.5,33,8016.5,8016.5,1
MzEzMTY0NTg,35,35,52400,496,1,1,1.0,1,496.0,496.0,496,52400.0,52400.0,1
MzEzMTY2Mjk,34,36,13512,100,2,3,0.6666666666666666,2,181.66666666666666,272.5,545,24050.333333333332,36075.5,1
MzEzMTY2NDU,34,36,32312,301,2,3,0.6666666666666666,2,200.33333333333334,300.5,601,21625.666666666668,32438.5,1
MzEzMTY2NTA,36,36,36906,423,1,1,1.0,1,423.0,423.0,423,36906.0,36906.0,1
MzEzMTY2NTI,35,36,50053,153,2,2,1.0,2,85.5,85.5,171,28171.5,28171.5,1
MzEzMTcwMDU,34,36,94790,409,2,3,0.6666666666666666,2,206.0,309.0,618,48731.666666666664,73097.5,1
MzEzMTcwNDQ,34,36,30321,219,2,3,0.6666666666666666,2,147.0,220.5,441,20344.666666666668,30517.0,1
MzEzMTcyNjk,34,36,238833,456,3,3,1.0,3,351.3333333333333,351.3333333333333,1054,181589.66666666666,181589.66666666666,1
MzEzMTcyOTI,34,36,224080,466,3,3,1.0,3,691.6666666666666,691.6666666666666,2075,357246.0,357246.0,1
MzEzMTczNDI,34,36,108006,866,3,3,1.0,3,732.3333333333334,732.3333333333334,2197,115841.33333333333,115841.33333333333,1
MzEzMTc1NTg,34,36,12544,131,3,3,1.0,3,128.66666666666666,128.66666666666666,386,13451.666666666666,13451.666666666666,1
MzEzMTc2OTk,34,36,71319,623,3,3,1.0,3,534.3333333333334,534.3333333333334,1603,59084.333333333336,59084.333333333336,1
MzEzMTc3Mjg,34,36,44039,403,3,3,1.0,3,457.0,457.0,1371,50667.0,50667.0,1
MzEzMTc3Mjk,34,34,35869,245,1,1,1.0,1,245.0,245.0,245,35869.0,35869.0,1
MzEzMTc3OTI,34,36,54155,200,3,3,1.0,3,214.66666666666666,214.66666666666666,644,57796.333333333336,57796.333333333336,1
MzEzMTc4NTQ,34,36,49849,230,3,3,1.0,3,240.33333333333334,240.33333333333334,721,50721.0,50721.0,1
MzEzMTc4OTA,34,36,292566,1863,3,3,1.0,3,2113.0,2113.0,6339,292712.6666666667,292712.6666666667,1
MzEzMTc5Mjk,34,36,423862,85,3,3,1.0,3,57.333333333333336,57.333333333333336,172,485157.3333333333,485157.3333333333,1
MzEzMTc5NDc,34,36,56898,429,3,3,1.0,3,369.3333333333333,369.3333333333333,1108,50129.0,50129.0,1
MzEzMTc5NTQ,34,36,59957,407,3,3,1.0,3,417.0,417.0,1251,57500.666666666664,57500.666666666664,1
MzEzMTc5ODk,34,36,44881,32,3,3,1.0,3,178.0,178.0,534,112089.0,112089.0,1
MzEzMTgzNDc,34,36,118943,216,3,3,1.0,3,210.33333333333334,210.33333333333334,631,114196.33333333333,114196.33333333333,1
MzEzMTgzNTY,35,35,21178,199,1,1,1.0,1,199.0,199.0,199,21178.0,21178.0,1
MzEzMTg1ODU,36,36,30644,220,1,1,1.0,1,220.0,220.0,220,30644.0,30644.0,1
MzEzMTg1ODg,34,36,104553,310,3,3,1.0,3,350.0,350.0,1050,100561.33333333333,100561.33333333333,1
MzEzMTg3NjI,35,35,44611,92,1,1,1.0,1,92.0,92.0,92,44611.0,44611.0,1
MzEzMTg4MTI,34,35,48191,197,2,2,1.0,2,200.5,200.5,401,49803.0,49803.0,1
MzEzMTg5Mzk,34,36,205092,2669,3,3,1.0,3,2118.3333333333335,2118.3333333333335,6355,172388.33333333334,172388.33333333334,1
MzEzMTkwNDk,34,36,19895,232,3,3,1.0,3,761.3333333333334,761.3333333333334,2284,53618.666666666664,53618.666666666664,1
MzEzMTkxODc,34,36,66015,85,3,3,1.0,3,259.6666666666667,259.6666666666667,779,203691.33333333334,203691.33333333334,1
MzEzMTk1MTA,34,36,124598,497,3,3,1.0,3,430.0,430.0,1290,109992.0,109992.0,1
MzEzMTk1NDI,34,36,361159,2313,3,3,1.0,3,4376.0,4376.0,13128,607524.0,607524.0,1
MzEzMTk1NzY,34,36,115510,175,3,3,1.0,3,174.33333333333334,174.33333333333334,523,111331.0,111331.0,1
MzEzMTk3NzY,34,36,188843,916,3,3,1.0,3,502.0,502.0,1506,112304.66666666667,112304.66666666667,1
MzEzMTk3OTY,35,35,115940,775,1,1,1.0,1,775.0,775.0,775,115940.0,115940.0,1
MzEzMTk4Mjc,34,36,37315,251,2,3,0.6666666666666666,2,151.0,226.5,453,22398.0,33597.0,1
MzEzMTk4Mjk,34,36,17964,229,3,3,1.0,3,249.66666666666666,249.66666666666666,749,26334.333333333332,26334.333333333332,1
MzEzMTk5NjU,34,36,557309,4741,3,3,1.0,3,3913.0,3913.0,11739,471384.0,471384.0,1
MzEzMjAwNzU,35,36,2562,9,2,2,1.0,2,9.0,9.0,18,2540.0,2540.0,1
MzEzMjAxOTg,34,36,77638,641,3,3,1.0,3,778.6666666666666,778.6666666666666,2336,81238.33333333333,81238.33333333333,1
MzEzMjAyMDY,34,36,44663,132,2,3,0.6666666666666666,2,90.66666666666667,136.0,272,29713.333333333332,44570.0,1
MzEzMjAyMDg,36,36,97631,162,1,1,1.0,1,162.0,162.0,162,97631.0,97631.0,1
MzEzMjAyMTA,34,36,22511,68,2,3,0.6666666666666666,2,35.666666666666664,53.5,107,11394.333333333334,17091.5,1
MzEzMjAyNDg,34,35,7710,34,2,2,1.0,2,25.0,25.0,50,5467.0,5467.0,1
MzEzMjAyNjI,34,34,7581,34,1,1,1.0,1,34.0,34.0,34,7581.0,7581.0,1
MzEzMjAyNjM,34,36,11286,52,2,3,0.6666666666666666,2,32.333333333333336,48.5,97,6969.333333333333,10454.0,1
MzEzMjAyODA,34,36,4142,19,3,3,1.0,3,14.333333333333334,14.333333333333334,43,3171.3333333333335,3171.3333333333335,1
MzEzMjAyODE,34,35,19104,94,2,2,1.0,2,65.0,65.0,130,13535.5,13535.5,1
